file,gt,pred,wer
lwiu4p,lay white in u four please,lay white in u four please,0.0
lwiu5a,lay white in u five again,lay white in u five again,0.0
lwwc2n,lay white with c two now,lay white with c two now,0.0
lwwc3s,lay white with c three soon,lay white with c three soon,0.0
lwwc4p,lay white with c four please,lay white with c four please,0.0
lwwc5a,lay white with c five again,lay white with c five again,0.0
lwwi6n,lay white with i six now,lay white with i six now,0.0
lwwi7s,lay white with i seven soon,lay white with i seven soon,0.0
lwwi8p,lay white with i eight please,lay white with i eight please,0.0
lwwi9a,lay white with i nine again,lay white with i nine again,0.0
lwwp1s,lay white with p one soon,lay white with p one soon,0.0
lwwp2p,lay white with p two please,lay white with p two please,0.0
lwwp3a,lay white with p three again,lay white with p three again,0.0
lwwpzn,lay white with p zero now,lay white with p zero now,0.0
lwwv4n,lay white with v four now,lay white with v four now,0.0
lwwv5s,lay white with v five soon,lay white with v five soon,0.0
lwwv6p,lay white with v six please,lay white with v six please,0.0
lwwv7a,lay white with v seven again,lay white with v seven again,0.0
pbaf1s,place blue at f one soon,place blue at f one soon,0.0
pbaf2p,place blue at f two please,place blue at f two please,0.0
pbaf3a,place blue at f three again,place blue with f three again,0.16666666666666666
pbafzn,place blue at f zero now,place blue at f zero now,0.0
pbal4n,place blue at l four now,place blue with l four now,0.16666666666666666
pbal5s,place blue at l five soon,place blue with l five soon,0.16666666666666666
pbal6p,place blue at l six please,place blue with l six please,0.16666666666666666
pbal7a,place blue at l seven again,place blue at l seven again,0.0
pbar8n,place blue at r eight now,place blue with r eight now,0.16666666666666666
pbar9s,place blue at r nine soon,place blue at r nine soon,0.0
pbas1a,place blue at s one again,place blue with s one again,0.16666666666666666
pbaszp,place blue at s zero please,place blue at s zero please,0.0
pbaz2n,place blue at z two now,place blue at z two now,0.0
pbaz3s,place blue at z three soon,place blue at z three soon,0.0
pbaz4p,place blue at z four please,place blue out at four please,0.3333333333333333
pbaz5a,place blue at z five again,place blue by z five again,0.16666666666666666
pbbf4n,place blue by f four now,place blue by f four now,0.0
pbbf5s,place blue by f five soon,place blue by f five soon,0.0
pbbf6p,place blue by f six please,place blue by f six please,0.0
pbbf7a,place blue by f seven again,place blue by f seven again,0.0
pbbl8n,place blue by l eight now,place blue by l eight now,0.0
pbbl9s,place blue by l nine soon,place blue by l nine soon,0.0
pbbm1a,place blue by m one again,place blue by m one again,0.0
pbbmzp,place blue by m zero please,place blue by m zero please,0.0
pbbs2n,place blue by s two now,place blue by s two now,0.0
pbbs3s,place blue by s three soon,place blue by s three soon,0.0
pbbs4p,place blue by s four please,place blue by s four please,0.0
pbbs5a,place blue by s five again,place blue by s five again,0.0
pbbz6n,place blue by z six now,place blue by z six now,0.0
pbbz7s,place blue by z seven soon,place blue by z seven soon,0.0
pbbz8p,place blue by z eight please,place blue by s eight please,0.16666666666666666
pbbz9a,place blue by z nine again,place blue by z nine again,0.0
pbie6n,place blue in e six now,place blue in e six now,0.0
pbie7s,place blue in e seven soon,place blue in e seven soon,0.0
pbie8p,place blue in e eight please,place blue in e eight please,0.0
pbie9a,place blue in e nine again,place blue in e nine again,0.0
pbil1s,place blue in l one soon,place blue in l one soon,0.0
pbil2p,place blue in l two please,place blue in l two please,0.0
pbil3a,place blue in l three again,place blue in l three again,0.0
pbilzn,place blue in l zero now,place blue in l zero now,0.0
pbir4n,place blue in r four now,place blue in r four now,0.0
pbir5s,place blue in r five soon,place blue in r five soon,0.0
pbir6p,place blue in r six please,place blue in r six please,0.0
pbir7a,place blue in r seven again,place blue in r seven again,0.0
pbiy8n,place blue in y eight now,place blue in y eight now,0.0
pbiy9s,place blue in y nine soon,place blue in y nine soon,0.0
pbiz1a,place blue in z one again,place blue in z one again,0.0
pbizzp,place blue in z zero please,place blue in z zero please,0.0
pbwf8n,place blue with f eight now,place blue with f eight now,0.0
pbwf9s,place blue with f nine soon,place blue with f nine soon,0.0
pbwg1a,place blue with g one again,place blue with g one again,0.0
pbwgzp,place blue with g zero please,place blue with g zero please,0.0
pbwm2n,place blue with m two now,place blue with m two now,0.0
pbwm3s,place blue with m three soon,place blue with m three soon,0.0
pbwm4p,place blue with m four please,place blue with m four please,0.0
pbwm5a,place blue with m five again,place blue with m five again,0.0
pbws6n,place blue with s six now,place blue with s six now,0.0
pbws7s,place blue with s seven soon,place blue with s seven soon,0.0
pbws8p,place blue with s eight please,place blue with s eight,0.16666666666666666
pbws9a,place blue with s nine again,place blue with s nine again,0.0
pgaa4n,place green at a four now,place green at a four now,0.0
pgaa5s,place green at a five soon,place green at a five soon,0.0
pgaa6p,place green at a six please,place green at a six please,0.0
pgaa7a,place green at a seven again,place green at a seven again,0.0
pgag8n,place green at g eight now,place green at g eight now,0.0
pgag9s,place green at g nine soon,place green at g nine soon,0.0
pgah1a,place green at h one again,place green at h one again,0.0
pgahzp,place green at h zero please,place green at h zero please,0.0
pgan2n,place green at n two now,place green at n two now,0.0
pgan3s,place green at n three soon,place green at n three soon,0.0
pgan4p,place green at n four please,place green at n four please,0.0
pgan5a,place green at n five again,place green at n five again,0.0
pgat6n,place green at t six now,place green at t six now,0.0
pgat7s,place green at t seven soon,place green at t seven soon,0.0
pgat8p,place green at t eight please,place green at t eight please,0.0
pgat9a,place green at t nine again,place green at t nine again,0.0
pgba8n,place green by a eight now,place green by a eight now,0.0
pgba9s,place green by a nine soon,place green by a nine soon,0.0
pgbb1a,place green by b one again,place green by b one again,0.0
pgbbzp,place green by b zero please,place green by b zero please,0.0
pgbh2n,place green by h two now,place green by h two now,0.0
pgbh3s,place green by h three soon,place green by h three soon,0.0
pgbh4p,place green by h four please,place green by h four please,0.0
pgbh5a,place green by h five again,place green by h five again,0.0
pgbn6n,place green by n six now,place green by n six now,0.0
pgbn7s,place green by n seven soon,place green by n seven soon,0.0
pgbn8p,place green by n eight please,place green by n eight please,0.0
pgbn9a,place green by n nine again,place green by n nine again,0.0
pgbu1s,place green by u one soon,place green by u one soon,0.0
pgbu2p,place green by u two please,place green by u two please,0.0
pgbu3a,place green by u three again,place green by u three again,0.0
pgbuzn,place green by u zero now,place green by u zero now,0.0
pgia1s,place green in a one soon,place green in a one soon,0.0
pgia2p,place green in a two please,place green in a two please,0.0
pgia3a,place green in a three again,place green in a three again,0.0
pgiazn,place green in a zero now,place green in a zero now,0.0
pgig4n,place green in g four now,place green in g four now,0.0
pgig5s,place green in g five soon,place green in g five soon,0.0
pgig6p,place green in g six please,place green in g six please,0.0
pgig7a,place green in g seven again,place green in g seven again,0.0
pgim8n,place green in m eight now,place green in m eight now,0.0
pgim9s,place green in m nine soon,place green in m nine soon,0.0
pgin1a,place green in n one again,place green in n one again,0.0
pginzp,place green in n zero please,place green in n zero please,0.0
pgit2n,place green in t two now,place green in t two now,0.0
pgit3s,place green in t three soon,place green in t three soon,0.0
pgit4p,place green in t four please,place green in t four please,0.0
pgit5a,place green in t five again,place green in t five again,0.0
pgwb2n,place green with b two now,place green with b two now,0.0
pgwb3s,place green with b three soon,place green with b three soon,0.0
pgwb4p,place green with b four please,place green with b four please,0.0
pgwb5a,place green with b five again,place green with b five again,0.0
pgwh6n,place green with h six now,place green with h six now,0.0
pgwh7s,place green with h seven soon,place green with h seven soon,0.0
pgwh8p,place green with h eight please,place green with h eight please,0.0
pgwh9a,place green with h nine again,place green with h nine again,0.0
pgwo1s,place green with o one soon,place green with o one soon,0.0
pgwo2p,place green with o two please,place green with o two please,0.0
pgwo3a,place green with o three again,place green with o three again,0.0
pgwozn,place green with o zero now,place green with o zero now,0.0
pgwu4n,place green with u four now,place green with u four now,0.0
pgwu5s,place green with u five soon,place green with u five soon,0.0
pgwu6p,place green with u six please,place green with u six please,0.0
pgwu7a,place green with u seven again,place green with u seven again,0.0
praf6n,place red at f six now,place red at f six now,0.0
praf7s,place red at f seven soon,place red at f seven soon,0.0
praf8p,place red at f eight please,place red at f eight please,0.0
praf9a,place red at f nine again,place red at f nine again,0.0
pram1s,place red at m one soon,place red at m one soon,0.0
pram2p,place red at m two please,place red at m two please,0.0
pram3a,place red at m three again,place red at m three again,0.0
pramzn,place red at m zero now,place red at m zero now,0.0
pras4n,place red at s four now,place red at s four now,0.0
pras5s,place red at s five soon,place red at s five soon,0.0
pras6p,place red at s six please,place red at s six please,0.0
pras7a,place red at s seven again,place red at s seven again,0.0
praz8n,place red at z eight now,place red at z eight now,0.0
praz9s,place red at z nine soon,place red at z nine soon,0.0
prbg1s,place red by g one soon,place red by g one soon,0.0
prbg2p,place red by g two please,place red by g two please,0.0
prbg3a,place red by g three again,place red by g three again,0.0
prbgzn,place red by g zero now,place for it by g zero now,0.3333333333333333
prbm4n,place red by m four now,place red by m four now,0.0
prbm5s,place red by m five soon,place red by m five soon,0.0
prbm6p,place red by m six please,place red by m six please,0.0
prbm7a,place red by m seven again,place red by m seven again,0.0
prbs8n,place red by s eight now,place red by s eight now,0.0
prbs9s,place red by s nine soon,place red by s nine soon,0.0
prbt1a,place red by t one again,place red by t one again,0.0
prbtzp,place red by t zero please,place red by t zero please,0.0
prif2n,place red in f two now,place red in f two now,0.0
prif3s,place red in f three soon,place red in f three soon,0.0
prif4p,place red in f four please,place red in f four please,0.0
prif5a,place red in f five again,place red in f five again,0.0
pril6n,place red in l six now,place red in l six now,0.0
pril7s,place red in l seven soon,place red in l seven soon,0.0
pril8p,place red in l eight please,place red in l eight please,0.0
pril9a,place red in l nine again,place red in l nine again,0.0
pris1s,place red in s one soon,place red in s one soon,0.0
pris2p,place red in s two please,place red in s two please,0.0
pris3a,place red in s three again,place red in s three again,0.0
priszn,place red in s zero now,place red in s zero now,0.0
priz4n,place red in z four now,place red in z four now,0.0
priz5s,place red in z five soon,place for eight in z five soon,0.3333333333333333
priz6p,place red in z six please,place red in z six please,0.0
priz7a,place red in z seven again,place red in z seven again,0.0
prwa1s,place red with a one soon,place red with a one soon,0.0
prwa2p,place red with a two please,place red with a two please,0.0
prwa3a,place red with a three again,place red with a three again,0.0
prwazn,place red with a zero now,place red with a zero now,0.0
prwg4n,place red with g four now,place red with g four now,0.0
prwg5s,place red with g five soon,place red with g five soon,0.0
prwg6p,place red with g six please,place red with g six please,0.0
prwg7a,place red with g seven again,place red with g seven again,0.0
prwm8n,place red with m eight now,place red with m eight now,0.0
prwm9s,place red with m nine soon,place for i with m nine soon,0.3333333333333333
prwn1a,place red with n one again,place red with n one again,0.0
prwnzp,place red with n zero please,place red with n zero please,0.0
prwt2n,place red with t two now,place red with t two now,0.0
prwt3s,place red with t three soon,place red with t three soon,0.0
prwt4p,place red with t four please,place red with t four please,0.0
prwt5a,place red with t five again,place red with t five again,0.0
pwaa1a,place white at a one again,place white at a one again,0.0
pwaazp,place white at a zero please,place white at a zero please,0.0
pwag2n,place white at g two now,place white at g two now,0.0
pwag3s,place white at g three soon,place white at g three soon,0.0
pwag4p,place white at g four please,place white at g four please,0.0
pwag5a,place white at g five again,place white at g five again,0.0
pwam6n,place white at m six now,place white at m six now,0.0
pwam7s,place white at m seven soon,place white at m seven soon,0.0
pwam8p,place white at m eight please,place white at m eight please,0.0
pwam9a,place white at m nine again,place white at m nine again,0.0
pwat1s,place white at t one soon,place white at t one soon,0.0
pwat2p,place white at t two please,place white at t two please,0.0
pwat3a,place white at t three again,place white at t three again,0.0
pwatzn,place white at t zero now,place white at t zero now,0.0
pwba2n,place white by a two now,place white by a two now,0.0
pwba3s,place white by a three soon,place white by a three soon,0.0
pwba4p,place white by a four please,place white by a four please,0.0
pwba5a,place white by a five again,place white by a five again,0.0
pwbg6n,place white by g six now,place white by g six now,0.0
pwbg7s,place white by g seven soon,place white by g seven soon,0.0
pwbg8p,place white by g eight please,place white by g eight please,0.0
pwbg9a,place white by g nine again,place white by g nine again,0.0
pwbn1s,place white by n one soon,place white by n one soon,0.0
pwbn2p,place white by n two please,place white by n two please,0.0
pwbn3a,place white by n three again,place white by n three again,0.0
pwbnzn,place white by n zero now,place white by n zero now,0.0
pwbt4n,place white by t four now,place white by t four now,0.0
pwbt5s,place white by t five soon,place white by t five soon,0.0
pwbt6p,place white by t six please,place white by t six please,0.0
pwbt7a,place white by t seven again,place white by t seven again,0.0
pwif8n,place white in f eight now,place white in f eight now,0.0
pwif9s,place white in f nine soon,place white in f nine soon,0.0
pwig1a,place white in g one again,place white in g one again,0.0
pwigzp,place white in g zero please,place white in g zero please,0.0
pwim2n,place white in m two now,place white in m two now,0.0
pwim3s,place white in m three soon,place white in m three soon,0.0
pwim4p,place white in m four please,place white in m four please,0.0
pwim5a,place white in m five again,place white in m five again,0.0
pwis6n,place white in s six now,place white in s six now,0.0
pwis7s,place white in s seven soon,place white in s seven soon,0.0
pwis8p,place white in s eight please,place white in s eight please,0.0
pwis9a,place white in s nine again,place white in s nine again,0.0
pwwa6n,place white with a six now,place white with a six now,0.0
pwwa7s,place white with a seven soon,place white with a seven soon,0.0
pwwa8p,place white with a eight please,place white with a eight please,0.0
pwwa9a,place white with a nine again,place white with a nine again,0.0
pwwh1s,place white with h one soon,place white with h one soon,0.0
pwwh2p,place white with h two please,place white with h two please,0.0
pwwh3a,place white with h three again,place white with h three again,0.0
pwwhzn,place white with h zero now,place white with h zero now,0.0
pwwn4n,place white with n four now,place white with n four now,0.0
pwwn5s,place white with n five soon,place white with n five soon,0.0
pwwn6p,place white with n six please,place white with n six please,0.0
pwwn7a,place white with n seven again,place white with n seven again,0.0
pwwt8n,place white with t eight now,place white with t eight now,0.0
pwwt9s,place white with t nine soon,place white with t nine soon,0.0
pwwu1a,place white with u one again,place white with u one again,0.0
pwwuzp,place white with u zero please,place white with u zero please,0.0
sbad4n,set blue at d four now,set blue at d four now,0.0
sbad5s,set blue at d five soon,set blue at d five soon,0.0
sbad6p,set blue at d six please,set blue at d six please,0.0
sbad7a,set blue at d seven again,set blue at d seven again,0.0
sbaj8n,set blue at j eight now,set blue at j eight now,0.0
sbaj9s,set blue at j nine soon,set blue with j nine soon,0.16666666666666666
sbak1a,set blue at k one again,set blue at k one again,0.0
sbakzp,set blue at k zero please,set blue at k zero please,0.0
sbaq2n,set blue at q two now,set blue at q two now,0.0
sbaq3s,set blue at q three soon,set blue at q three soon,0.0
sbaq4p,set blue at q four please,set blue at q four please,0.0
sbaq5a,set blue at q five again,set blue at q five again,0.0
sbax6n,set blue at x six now,set blue at x six now,0.0
sbax7s,set blue at x seven soon,set blue at x seven soon,0.0
sbax8p,set blue at x eight please,set blue at x eight please,0.0
sbax9a,set blue at x nine again,set blue at x nine again,0.0
sbbd8n,set blue by d eight now,set blue by d eight now,0.0
sbbd9s,set blue by d nine soon,set blue by d nine soon,0.0
sbbe1a,set blue by e one again,set blue by e one again,0.0
sbbezp,set blue by e zero please,set blue by e zero please,0.0
sbbk2n,set blue by k two now,set blue by k two now,0.0
sbbk3s,set blue by k three soon,set blue by k three soon,0.0
sbbk4p,set blue by k four please,set blue by k four please,0.0
sbbk5a,set blue by k five again,set blue by k five again,0.0
sbbq6n,set blue by q six now,set blue by q six now,0.0
sbbq7s,set blue by q seven soon,set blue by q seven soon,0.0
sbbq8p,set blue by q eight please,set blue by q eight please,0.0
sbbq9a,set blue by q nine again,set blue by q nine again,0.0
sbby1s,set blue by y one soon,set blue by y one soon,0.0
sbby2p,set blue by y two please,set blue by y two please,0.0
sbby3a,set blue by y three again,set blue by y three again,0.0
sbbyzn,set blue by y zero now,set blue by y zero now,0.0
sbid1s,set blue in d one soon,set blue in d one soon,0.0
sbid2p,set blue in d two please,set blue in d two please,0.0
sbid3a,set blue in d three again,set blue in d three again,0.0
sbidzn,set blue in d zero now,set blue in d zero now,0.0
sbij4n,set blue in j four now,set blue in j four now,0.0
sbij5s,set blue in j five soon,set blue in j five soon,0.0
sbij6p,set blue in j six please,set blue in j six please,0.0
sbij7a,set blue in j seven again,set blue in j seven again,0.0
sbip8n,set blue in p eight now,set blue in p eight now,0.0
sbip9s,set blue in p nine soon,set blue in p nine soon,0.0
sbiq1a,set blue in q one again,set blue in q one again,0.0
sbiqzp,set blue in q zero please,set blue in q zero please,0.0
sbix2n,set blue in x two now,set blue in x two now,0.0
sbix3s,set blue in x three soon,set blue in x three soon,0.0
sbix4p,set blue in x four please,set blue in x four please,0.0
sbix5a,set blue in x five again,set blue in x five again,0.0
sbwe2n,set blue with e two now,set blue with e two now,0.0
sbwe3s,set blue with e three soon,set blue with e three soon,0.0
sbwe4p,set blue with e four please,set blue with e four please,0.0
sbwe5a,set blue with e five again,set blue with e five again,0.0
sbwk6n,set blue with k six now,set blue with k six now,0.0
sbwk7s,set blue with k seven soon,set blue with k seven soon,0.0
sbwk8p,set blue with k eight please,set blue with k eight please,0.0
sbwk9a,set blue with k nine again,set blue with k nine again,0.0
sbwr1s,set blue with r one soon,set blue with r one soon,0.0
sbwr2p,set blue with r two please,set blue with r two please,0.0
sbwr3a,set blue with r three again,set blue with r three again,0.0
sbwrzn,set blue with r zero now,set blue with r zero now,0.0
sbwy4n,set blue with y four now,set blue with y four now,0.0
sbwy5s,set blue with y five soon,set blue with y five soon,0.0
sbwy6p,set blue with y six please,set blue with y six please,0.0
sbwy7a,set blue with y seven again,set blue with y seven again,0.0
sgaf2n,set green at f two now,set green at f two now,0.0
sgaf3s,set green at f three soon,set green at f three soon,0.0
sgaf4p,set green at f four please,set green at f four please,0.0
sgaf5a,set green at f five again,set green at f five again,0.0
sgal6n,set green at l six now,set green at l six now,0.0
sgal7s,set green at l seven soon,set green at l seven soon,0.0
sgal8p,set green at l eight please,set green at l eight please,0.0
sgal9a,set green at l nine again,set green at l nine again,0.0
sgas1s,set green at s one soon,set green at s one soon,0.0
sgas2p,set green at s two please,set green at s two please,0.0
sgas3a,set green at s three again,set green at s three again,0.0
sgaszn,set green at s zero now,set green at s zero now,0.0
sgaz4n,set green at z four now,set green at z four now,0.0
sgaz5s,set green at z five soon,set green at z five soon,0.0
sgaz6p,set green at z six please,set green at z six please,0.0
sgaz7a,set green at z seven again,set green at z seven again,0.0
sgbf6n,set green by f six now,set green by f six now,0.0
sgbf7s,set green by f seven soon,set green by f seven soon,0.0
sgbf8p,set green by f eight please,set green by f eight please,0.0
sgbf9a,set green by f nine again,set green by f nine again,0.0
sgbm1s,set green by m one soon,set green by m one soon,0.0
sgbm2p,set green by m two please,set green by m two please,0.0
sgbm3a,set green by m three again,set green by m three again,0.0
sgbmzn,set green by m zero now,set green by m zero now,0.0
sgbs4n,set green by s four now,set green by s four now,0.0
sgbs5s,set green by s five soon,set green by s five soon,0.0
sgbs6p,set green by s six please,set green by s six please,0.0
sgbs7a,set green by s seven again,set green by s seven again,0.0
sgbz8n,set green by z eight now,set green by z eight now,0.0
sgbz9s,set green by z nine soon,set green by z nine soon,0.0
sgie8n,set green in e eight now,set green in e eight now,0.0
sgie9s,set green in e nine soon,set green in e nine soon,0.0
sgif1a,set green in f one again,set green in f one again,0.0
sgifzp,set green in f zero please,set green in f zero please,0.0
sgil2n,set green in l two now,set green in l two now,0.0
sgil3s,set green in l three soon,set green in l three soon,0.0
sgil4p,set green in l four please,set green in l four please,0.0
sgil5a,set green in l five again,set green in l five again,0.0
sgir6n,set green in r six now,set green in r six now,0.0
sgir7s,set green in r seven soon,set green in r seven soon,0.0
sgir8p,set green in r eight please,set green in r eight please,0.0
sgir9a,set green in r nine again,set green in r nine again,0.0
sgiz1s,set green in z one soon,set green in z one soon,0.0
sgiz2p,set green in z two please,set green in z two please,0.0
sgiz3a,set green in z three again,set green in z three again,0.0
sgizzn,set green in z zero now,set green in z three now,0.16666666666666666
sgwg1s,set green with g one soon,set green with g one soon,0.0
sgwg2p,set green with g two please,set green with g two please,0.0
sgwg3a,set green with g three again,set green with g three again,0.0
sgwgzn,set green with g zero now,set green with g zero now,0.0
sgwm4n,set green with m four now,set green with m four now,0.0
sgwm5s,set green with m five soon,set green with m five soon,0.0
sgwm6p,set green with m six please,set green with m six please,0.0
sgwm7a,set green with m seven again,set green with m seven again,0.0
sgws8n,set green with s eight now,set green with s eight now,0.0
sgws9s,set green with s nine soon,set green with s nine soon,0.0
sgwt1a,set green with t one again,set green with t one again,0.0
sgwtzp,set green with t zero please,set green with t zero please,0.0
srae1s,set red at e one soon,set red at e one soon,0.0
srae2p,set red at e two please,set red at e two please,0.0
srae3a,set red at e three again,set red at e three again,0.0
sraezn,set red at e zero now,set for it at e zero now,0.3333333333333333
srak4n,set red at k four now,set red at k four now,0.0
srak5s,set red at k five soon,set red at k five soon,0.0
srak6p,set red at k six please,set red at k six please,0.0
srak7a,set red at k seven again,set red at k seven again,0.0
sraq8n,set red at q eight now,set red at q eight now,0.0
sraq9s,set red at q nine soon,set red at q nine soon,0.0
srar1a,set red at r one again,set red at r one again,0.0
srarzp,set red at r zero please,set red at r zero please,0.0
sray2n,set red at y two now,set red at y two now,0.0
sray3s,set red at y three soon,set red at y three soon,0.0
sray4p,set red at y four please,set red at y four please,0.0
sray5a,set red at y five again,set red at y five again,0.0
srbe4n,set red by e four now,set red by e four now,0.0
srbe5s,set red by e five soon,set red by e five soon,0.0
srbe6p,set red by e six please,set red by e six please,0.0
srbe7a,set red by e seven again,ill set red by e seven again,0.16666666666666666
srbk8n,set red by k eight now,set red by k eight now,0.0
srbk9s,set red by k nine soon,set red by k nine soon,0.0
srbl1a,set red by l one again,set red by l one again,0.0
srblzp,set red by l zero please,set red by l zero please,0.0
srbr2n,set red by r two now,set red by r two now,0.0
srbr3s,set red by r three soon,set red by r three soon,0.0
srbr4p,set red by r four please,set red by r four please,0.0
srbr5a,set red by r five again,set red by r five again,0.0
srby6n,set red by y six now,set red by y six now,0.0
srby7s,set red by y seven soon,set red by y seven soon,0.0
srby8p,set red by y eight please,set red by y eight please,0.0
srby9a,set red by y nine again,set red by y nine again,0.0
srid6n,set red in d six now,set red in d six now,0.0
srid7s,set red in d seven soon,set red in d seven soon,0.0
srid8p,set red in d eight please,set red in d eight please,0.0
srid9a,set red in d nine again,set red in d nine again,0.0
srik1s,set red in k one soon,set red in k one soon,0.0
srik2p,set red in k two please,set red in k two please,0.0
srik3a,set red in k three again,set red in k three again,0.0
srikzn,set red in k zero now,set red in k zero now,0.0
sriq4n,set red in q four now,set red in q four now,0.0
sriq5s,set red in q five soon,set red in q five soon,0.0
sriq6p,set red in q six please,set red in q six please,0.0
sriq7a,set red in q seven again,set red in q seven again,0.0
srix8n,set red in x eight now,set red in x eight now,0.0
srix9s,set red in x nine soon,set red in x nine soon,0.0
sriy1a,set red in y one again,set red in y one again,0.0
sriyzp,set red in y zero please,set red in y zero please,0.0
srwe8n,set red with e eight now,set red with e eight now,0.0
srwe9s,set red with e nine soon,set fred with e nine soon,0.16666666666666666
srwf1a,set red with f one again,set red with f one again,0.0
srwfzp,set red with f zero please,set red with f zero please,0.0
srwl2n,set red with l two now,set red with l two now,0.0
srwl3s,set red with l three soon,set red with l three soon,0.0
srwl4p,set red with l four please,set red with l four please,0.0
srwl5a,set red with l five again,set red with l five again,0.0
srwr6n,set red with r six now,set red with r six now,0.0
srwr7s,set red with r seven soon,set red with r seven soon,0.0
srwr8p,set red with r eight please,set red with r eight please,0.0
srwr9a,set red with r nine again,set red with r nine again,0.0
srwz1s,set red with z one soon,set red with z one soon,0.0
srwz2p,set red with z two please,set red with z two please,0.0
srwz3a,set red with z three again,set red with z three again,0.0
srwzzn,set red with z zero now,set red with set zero now,0.16666666666666666
swae6n,set white at e six now,set white at e six now,0.0
swae7s,set white at e seven soon,set white at e seven soon,0.0
swae8p,set white at e eight please,set white at e eight please,0.0
swae9a,set white at e nine again,set white at e nine again,0.0
swal1s,set white at l one soon,set white at l one soon,0.0
swal2p,set white at l two please,set white at l two please,0.0
swal3a,set white at l three again,set white at l three again,0.0
swalzn,set white at l zero now,set white at l zero now,0.0
swar4n,set white at r four now,set white at r four now,0.0
swar5s,set white at r five soon,set white at r five soon,0.0
swar6p,set white at r six please,set white at r six please,0.0
swar7a,set white at r seven again,set white at r seven again,0.0
sway8n,set white at y eight now,set white at y eight now,0.0
sway9s,set white at y nine soon,set white at y nine soon,0.0
swaz1a,set white at z one again,set white at z one again,0.0
swazzp,set white at z zero please,set one at z zero please,0.16666666666666666
swbf1s,set white by f one soon,set white by f one soon,0.0
swbf2p,set white by f two please,set white by f two please,0.0
swbf3a,set white by f three again,set white by f three again,0.0
swbfzn,set white by f zero now,set white by f zero now,0.0
swbl4n,set white by l four now,set white by l four now,0.0
swbl5s,set white by l five soon,set white by l five soon,0.0
swbl6p,set white by l six please,set white by l six please,0.0
swbl7a,set white by l seven again,set white by l seven again,0.0
swbr8n,set white by r eight now,set white by r right now,0.16666666666666666
swbr9s,set white by r nine soon,set white by r nine soon,0.0
swbs1a,set white by s one again,set white by s one again,0.0
swbszp,set white by s zero please,set white by s zero please,0.0
swbz2n,set white by z two now,set white by z two now,0.0
swbz3s,set white by z three soon,set white by z three soon,0.0
swbz4p,set white by z four please,set white by z four please,0.0
swbz5a,set white by z five again,set white by z five again,0.0
swie2n,set white in e two now,set white in e two now,0.0
swie3s,set white in e three soon,set white in e three soon,0.0
swie4p,set white in e four please,set white in e four please,0.0
swie5a,set white in e five again,set white in e five,0.16666666666666666
swik6n,set white in k six now,set white in k six now,0.0
swik7s,set white in k seven soon,set white in k seven soon,0.0
swik8p,set white in k eight please,set white in k eight please,0.0
swik9a,set white in k nine again,set white in k nine again,0.0
swir1s,set white in r one soon,set white in r one soon,0.0
swir2p,set white in r two please,set white in r two please,0.0
swir3a,set white in r three again,set white in r three again,0.0
swirzn,set white in r zero now,set white in r zero now,0.0
swiy4n,set white in y four now,set white in y four now,0.0
swiy5s,set white in y five soon,set white on y five soon,0.16666666666666666
swiy6p,set white in y six please,set white in y six please,0.0
swiy7a,set white in y seven again,set white in y seven again,0.0
swwf4n,set white with f four now,set white with f four now,0.0
swwf5s,set white with f five soon,set white with f five soon,0.0
swwf6p,set white with f six please,set white with f six please please,0.16666666666666666
swwf7a,set white with f seven again,set white with f seven again,0.0
swwl8n,set white with l eight now,set white with l eight now,0.0
swwl9s,set white with l nine soon,set white with l nine soon,0.0
swwm1a,set white with m one again,set white with m one again,0.0
swwmzp,set white with m zero please,set white with m zero please,0.0
swws2n,set white with s two now,set white with s two now,0.0
swws3s,set white with s three soon,set white with s three soon,0.0
swws4p,set white with s four please,set white with s four please,0.0
swws5a,set white with s five again,set white with s five again,0.0
swwz6n,set white with z six now,set white with z six now,0.0
swwz7s,set white with z seven soon,set white with z seven soon,0.0
swwz8p,set white with z eight please,set white with z eight please,0.0
swwz9a,set white with z nine again,set white with z nine again,0.0
